Case No,Department
VKB-01327,Rural Development
VKB-01329,Revenue
VKB-01330,Rural Development
VKB-01331,Revenue
VKB-01332,Revenue
VKB-01333,Agriculture - KM
VKB-01334,Banking
VKB-01334,Revenue
VKB-01335,Agriculture - KM
VKB-01336,Banking
VKB-01337,Rural Development
VKB-01338,Agriculture - KM
VKB-01340,Banking
VKB-01341,Agriculture - KM
VKB-01343,Horticulture
VKB-01344,Agriculture - KM
VKB-01345,Revenue
VKB-01346,Agriculture - KM
VKB-01347,Revenue
VKB-01348,Revenue
VKB-01349,Banking
VKB-01350,Revenue
VKB-01351,Revenue
VKB-01352,Horticulture
VKB-01353,Agriculture - KM
VKB-01354,Banking
VKB-01355,Agriculture - KM
VKB-01356,Revenue
VKB-01357,Revenue
VKB-01358,Revenue
VKB-01359,Banking
VKB-01360,ST Corporation
VKB-01361,Agriculture - KM
VKB-01362,Revenue
VKB-01364,Revenue
VKB-01363,Agriculture - KM
VKB-01365,Agriculture - KM
VKB-01366,Agriculture - KM
VKB-01368,Horticulture
VKB-01370,Horticulture
VKB-01371,Horticulture
VKB-01372,Revenue
VKB-01373,Agriculture - KM
VKB-01374,Agriculture - KM
VKB-01375,Banking
VKB-01376,Banking
VKB-01376,Agriculture - KM
VKB-01377,Agriculture - KM
VKB-01378,Agriculture - KM
VKB-01379,Revenue
VKB-01380,Horticulture
VKB-01381,Revenue
VKB-01383,SC Corporation
VKB-01384,Revenue
VKB-01385,Rural Development
VKB-01386,Agriculture - KM
VKB-01387,Revenue
VKB-01388,Agriculture - KM
VKB-01389,Agriculture - KM
VKB-01390,Agriculture - KM
VKB-01391,Horticulture
VKB-01392,Revenue
VKB-01392,Banking
VKB-01393,SC Corporation
VKB-01395,Agriculture - KM
VKB-01396,Revenue
VKB-01397,Agriculture - KM
VKB-01398,Agriculture - KM
VKB-01399,Revenue
VKB-01400,Revenue
VKB-01401,Revenue
VKB-01402,Agriculture - KM
VKB-01403,Agriculture - KM
VKB-01404,Revenue
VKB-01405,Rural Development
VKB-01406,Agriculture - KM
VKB-01407,Horticulture
VKB-01408,Agriculture - KM
VKB-01409,Agriculture - KM
VKB-01410,Banking
VKB-01411,Agriculture - KM
VKB-01412,Agriculture - KM
VKB-01413,Rural Development
VKB-01414,Horticulture
VKB-01415,Agriculture - KM
VKB-01416,Revenue
VKB-01417,Horticulture
VKB-01418,Agriculture - KM
VKB-01419,SC Corporation
VKB-01420,Revenue
VKB-01421,Revenue
VKB-01422,Agriculture - KM
VKB-01423,SC Corporation
VKB-01424,Electricity
VKB-01425,Agriculture - KM
VKB-01426,Revenue
VKB-01427,Agriculture - KM
VKB-01428,SC Corporation
VKB-01429,Revenue
VKB-01430,Horticulture
VKB-01431,Horticulture
VKB-01432,Revenue
VKB-01433,Banking
VKB-01434,Electricity
VKB-01435,Banking
VKB-01436,Banking
VKB-01437,Revenue
VKB-01438,Agriculture - KM
VKB-01439,Banking
VKB-01440,Horticulture
VKB-01441,Agriculture - KM
VKB-01443,Agriculture - KM
VKB-01444,Revenue
VKB-01445,Agriculture - KM
VKB-01446,Electricity
VKB-01447,Rural Development
VKB-01448,Agriculture - KM
VKB-01449,Revenue
VKB-01450,Agriculture - KM
VKB-01452,Agriculture - KM
VKB-01454,SC Corporation
VKB-01455,SC Corporation
VKB-01456,Rural Development
VKB-01457,Agriculture - KM
VKB-01458,Revenue
VKB-01460,Revenue
VKB-01461,Agriculture - KM
VKB-01462,Revenue
VKB-01463,Agriculture - KM
VKB-01465,Agriculture - KM
VKB-01467,Agriculture - KM
VKB-01468,Revenue
VKB-01469,Agriculture - KM
VKB-01470,Horticulture
VKB-01472,Agriculture - KM
VKB-01472,Banking
VKB-01473,Banking
VKB-01474,Agriculture - KM
VKB-01475,Banking
VKB-01476,Banking
VKB-01476,Revenue
VKB-01477,Banking
VKB-01479,Banking
VKB-01479,Revenue
VKB-01480,Agriculture - KM
VKB-01481,Revenue
VKB-01482,Agriculture - KM
VKB-01483,Revenue
VKB-01484,Revenue
VKB-01485,Revenue
VKB-01486,Revenue
VKB-01487,Agriculture - KM
VKB-01488,Forest
VKB-01489,Banking
VKB-01491,Electricity
VKB-01492,Agriculture - KM
VKB-01493,Revenue
VKB-01494,Revenue
VKB-01495,Agriculture - KM
VKB-01496,Banking
VKB-01497,Revenue
VKB-01498,Revenue
VKB-01499,Revenue
VKB-01499,Banking
VKB-01500,Electricity
VKB-01501,Revenue
VKB-01502,Rural Development
VKB-01503,Agriculture - KM
VKB-01504,SC Corporation
VKB-01505,Agriculture - KM
VKB-01506,Agriculture - KM
VKB-01507,Banking
VKB-01508,Agriculture - KM
VKB-01509,Banking
VKB-01510,Animal Husbandary & Veternary
VKB-01511,Horticulture
VKB-01512,Agriculture - KM
VKB-01513,Agriculture - KM
VKB-01514,Animal Husbandary & Veternary
VKB-01515,Banking
VKB-01516,Agriculture - KM
VKB-01517,Agriculture - KM
VKB-01519,Animal Husbandary & Veternary
VKB-01520,Revenue
VKB-01521,Agriculture - KM
VKB-01522,Fisheries
VKB-01523,Revenue
VKB-01524,Banking
VKB-01525,Agriculture - KM
VKB-01526,Revenue
VKB-01527,Revenue
VKB-01528,Revenue
VKB-01529,Agriculture - KM
VKB-01530,Revenue
VKB-01532,Revenue
VKB-01533,Revenue
VKB-01536,Agriculture - KM
VKB-01538,Revenue
VKB-01539,Revenue
VKB-01541,Horticulture
VKB-01542,Horticulture
VKB-01543,Agriculture - KM
VKB-01544,Horticulture
VKB-01545,Revenue
VKB-01546,Agriculture - KM
VKB-01547,Agriculture - KM
VKB-01548,Horticulture
VKB-01549,Revenue
VKB-01550,Agriculture - KM
VKB-01551,Agriculture - KM
VKB-01551,Banking
VKB-01552,Revenue
VKB-01553,Revenue
VKB-01554,Agriculture - KM
VKB-01555,Horticulture
VKB-01556,Rural Development
VKB-01557,Revenue
VKB-01557,Banking
VKB-01558,Revenue
VKB-01559,Agriculture - KM
VKB-01560,Rural Development
VKB-01561,Agriculture - KM
VKB-01562,Agriculture - KM
VKB-01563,Revenue
VKB-01564,Revenue
VKB-01565,Forest
VKB-01566,Agriculture - KM
VKB-01567,Revenue
VKB-01569,Agriculture - KM
VKB-01570,Banking
VKB-01571,Revenue
VKB-01572,Agriculture - KM
VKB-01573,Revenue
VKB-01574,Revenue
VKB-01575,Agriculture - KM
VKB-01576,Agriculture - KM
VKB-01577,Horticulture
VKB-01578,Revenue
VKB-01579,Revenue
VKB-01580,Agriculture - KM
VKB-01581,Banking
VKB-01582,Horticulture
VKB-01583,Revenue
VKB-01585,Agriculture - KM
VKB-01584,Agriculture - KM
VKB-01586,Agriculture - KM
VKB-01587,Agriculture - KM
VKB-01589,Agriculture - KM
VKB-01590,Agriculture - KM
VKB-01592,Irrigation
VKB-01592,Revenue
VKB-01593,Revenue
VKB-01594,Banking
VKB-01594,Revenue
VKB-01596,Agriculture - KM
VKB-01597,Agriculture - KM
VKB-01599,Revenue
VKB-01600,Agriculture - KM
VKB-01601,Horticulture
VKB-01602,Electricity
VKB-01603,Agriculture - KM
VKB-01604,Agriculture - KM
VKB-01605,Agriculture - KM
VKB-01606,Agriculture - KM
VKB-01607,Agriculture - KM
VKB-01608,Agriculture - KM
VKB-01609,Agriculture - KM
VKB-01610,Revenue
VKB-01611,Horticulture
VKB-01613,Revenue
VKB-01614,Agriculture - KM
VKB-01615,Agriculture - KM
VKB-01616,Agriculture - KM
VKB-01617,Agriculture - KM
VKB-01618,Agriculture - KM
VKB-01619,Agriculture - KM
VKB-01620,Banking
VKB-01621,Revenue
VKB-01622,Agriculture - KM
VKB-01623,Agriculture - KM
VKB-01624,Revenue
VKB-01625,Agriculture - KM
VKB-01626,Agriculture - KM
VKB-01627,Revenue
VKB-01629,Revenue
VKB-01629,Banking
VKB-01630,Agriculture - KM
VKB-01631,Agriculture - KM
VKB-01632,Agriculture - KM
VKB-01633,Agriculture - KM
VKB-01635,Rural Development
VKB-01637,Revenue
VKB-01638,Revenue
VKB-01639,Agriculture - KM
VKB-01641,Revenue
VKB-01642,Revenue
VKB-01643,Agriculture - KM
VKB-01644,Agriculture - KM
VKB-01645,Revenue
VKB-01646,Agriculture - KM
VKB-01647,Horticulture
VKB-01649,Revenue
VKB-01650,Revenue
VKB-01651,Agriculture - KM
VKB-01652,Rural Development
VKB-01654,Revenue
VKB-01655,Animal Husbandary & Veternary
VKB-01656,Revenue
VKB-01657,Revenue
VKB-01658,Revenue
VKB-01659,Revenue
VKB-01660,Revenue
VKB-01661,Revenue
VKB-01663,Revenue
VKB-01664,Revenue
VKB-01665,Horticulture
VKB-01666,Revenue
VKB-01667,Revenue
VKB-01669,Horticulture
VKB-01671,Rural Development
VKB-01672,Rural Development
VKB-01673,Rural Development
VKB-01674,Agriculture - KM
VKB-01675,Agriculture - KM
VKB-01676,Rural Development
VKB-01677,Other
VKB-01678,Revenue
VKB-01679,Revenue
VKB-01680,BC Corporation
VKB-01681,Revenue
VKB-01681,Agriculture - KM
VKB-01682,Agriculture - KM
VKB-01683,Agriculture - KM
VKB-01684,Agriculture - KM
VKB-01685,Electricity
VKB-01686,Agriculture - KM
VKB-01688,Revenue
VKB-01690,Banking
VKB-01692,Irrigation
VKB-01694,Rural Development
VKB-01696,Revenue
VKB-01697,Agriculture - KM
VKB-01699,Banking
VKB-01700,Agriculture - KM
VKB-01702,Agriculture - KM
VKB-01702,Banking
VKB-01703,Agriculture - KM
VKB-01705,Banking
VKB-01706,Revenue
VKB-01707,Agriculture - KM
VKB-01708,Agriculture - KM
VKB-01709,Banking
VKB-01710,Rural Development
VKB-01711,Revenue
VKB-01712,Revenue
VKB-01713,Agriculture - KM
VKB-01714,Electricity
VKB-01715,Agriculture - KM
VKB-01716,Horticulture
VKB-01717,Banking
VKB-01718,Revenue
VKB-01719,Agriculture - KM
VKB-01720,Revenue
VKB-01721,Agriculture - KM
VKB-01722,Agriculture - KM
VKB-01723,Horticulture
VKB-01724,Rural Development
VKB-01725,Agriculture - KM
VKB-01726,Forest
VKB-01727,Revenue
VKB-01728,Banking
VKB-01729,Agriculture - KM
VKB-01730,Agriculture - KM
VKB-01731,Revenue
VKB-01733,Revenue
VKB-01734,Agriculture - KM
VKB-01735,Banking
VKB-01736,Agriculture - KM
VKB-01737,Agriculture - KM
VKB-01738,Agriculture - KM
VKB-01739,Revenue
VKB-01740,Revenue
VKB-01741,Banking
VKB-01744,Agriculture - KM
VKB-01743,Horticulture
VKB-01745,Insurance
VKB-01746,Animal Husbandry
VKB-01747,Agriculture - KM
VKB-01748,Banking
VKB-01749,Revenue
VKB-01750,Electricity
VKB-01751,Other
VKB-01752,Horticulture
VKB-01753,Banking
VKB-01753,Revenue
VKB-01757,Revenue
VKB-01758,Agriculture - KM
VKB-01761,Revenue
VKB-01762,Revenue
VKB-01763,Horticulture
VKB-01765,Revenue
VKB-01766,Revenue
VKB-01767,Agriculture - KM
VKB-01768,Banking
VKB-01769,Revenue
VKB-01770,Revenue
VKB-01771,Agriculture - KM
VKB-01772,Revenue
VKB-01773,Agriculture - KM
VKB-01774,Revenue
VKB-01775,Revenue
VKB-01776,Horticulture
VKB-01777,Agriculture - KM
VKB-01778,Electricity
VKB-01779,Revenue
VKB-01781,Rural Development
VKB-01782,BC Corporation
VKB-01783,Revenue
VKB-01784,Agriculture - KM
VKB-01785,Revenue
VKB-01786,Revenue
VKB-01787,Agriculture - KM
VKB-01788,Rural Development
VKB-01789,Revenue
VKB-01791,Agriculture - KM
VKB-01793,Agriculture - KM
VKB-01796,Animal Husbandary & Veternary
VKB-01797,Rural Development
VKB-01798,Rural Development
VKB-01799,Revenue
VKB-01800,Agriculture - KM
VKB-01801,Agriculture - KM
VKB-01802,Revenue
VKB-01802,Banking
VKB-01803,Revenue
VKB-01804,Agriculture - KM
VKB-01805,BC Corporation
VKB-01806,Agriculture - KM
VKB-01808,Revenue
VKB-01809,Horticulture
VKB-01810,Rural Development
VKB-01811,Agriculture - KM
VKB-01812,Revenue
VKB-01813,Rural Development
VKB-01814,Revenue
VKB-01815,Revenue
VKB-01817,Agriculture - KM
VKB-01818,Banking
VKB-01819,Agriculture - KM
VKB-01820,Revenue
VKB-01822,Revenue
VKB-01823,Irrigation
VKB-01825,Revenue
VKB-01827,Horticulture
VKB-01828,Rural Development
VKB-01829,Agriculture - KM
VKB-01830,Banking
VKB-01831,Agriculture - KM
VKB-01832,Horticulture
VKB-01833,Revenue
VKB-01834,Agriculture - KM
VKB-01835,Marketing
VKB-01836,Agriculture - KM
VKB-01837,Irrigation
VKB-01838,Revenue
VKB-01839,Agriculture - KM
VKB-01840,Agriculture - KM
VKB-01841,Horticulture
VKB-01842,Agriculture - KM
VKB-01843,Revenue
VKB-01844,Agriculture - KM
VKB-01845,Horticulture
VKB-01846,Electricity
VKB-01847,Revenue
VKB-01848,Agriculture - KM
VKB-01849,Revenue
VKB-01851,Revenue
VKB-01852,Revenue
VKB-01853,Revenue
VKB-01854,Revenue
VKB-01855,Horticulture
VKB-01856,Banking
VKB-01857,Banking
VKB-01858,Rural Development
VKB-01859,Horticulture
VKB-01861,Agriculture - KM
VKB-01862,Revenue
VKB-01863,Agriculture - KM
VKB-01867,Rural Development
VKB-01868,Agriculture - KM
VKB-01869,Rural Development
VKB-01870,Agriculture - KM
VKB-01871,Agriculture - KM
VKB-01874,Marketing
VKB-01875,Horticulture
VKB-01877,Horticulture
VKB-01878,Agriculture - KM
VKB-01879,Horticulture
VKB-01880,Revenue
VKB-01881,Revenue
VKB-01882,Rural Development
VKB-01883,Banking
VKB-01886,Marketing
VKB-01887,Agriculture - KM
VKB-01888,Revenue
VKB-01889,Revenue
VKB-01890,Revenue
VKB-01891,Other
VKB-01893,Agriculture - KM
VKB-01894,RWS department
VKB-01895,Horticulture
VKB-01896,Revenue
VKB-01897,Revenue
VKB-01899,Agriculture - KM
VKB-01900,Banking
VKB-01901,Revenue
VKB-01902,SC Corporation
VKB-01903,Revenue
VKB-01904,Horticulture
VKB-01906,Department not mapped
VKB-01907,Agriculture - KM
VKB-01908,Weather Forecast
VKB-01909,Revenue
VKB-01910,Agriculture - KM
VKB-01912,Electricity
VKB-01913,Agriculture - KM
VKB-01914,Agriculture - KM
VKB-01915,Banking
VKB-01916,Revenue
VKB-01917,Revenue
VKB-01918,Revenue
VKB-01920,Banking
VKB-01921,Revenue
VKB-01922,Agriculture - KM
VKB-01923,Revenue
VKB-01924,Agriculture - KM
VKB-01925,Revenue
VKB-01926,Agriculture - KM
VKB-01931,Revenue
VKB-01932,Agriculture - KM
VKB-01933,Revenue
VKB-01934,Revenue
VKB-01936,Agriculture - KM
VKB-01937,Rural Development
VKB-01939,Agriculture - KM
VKB-01938,Revenue
VKB-01940,Agriculture - KM
VKB-01941,Electricity
VKB-01942,Revenue
VKB-01943,Department not mapped
VKB-01944,Revenue
VKB-01945,Agriculture - KM
VKB-01946,Horticulture
VKB-01947,Revenue
VKB-01948,Revenue
VKB-01949,Agriculture - KM
VKB-01950,Banking
VKB-01952,Revenue
VKB-01953,Revenue
VKB-01954,Electricity
VKB-01955,Horticulture
VKB-01956,Agriculture - KM
VKB-01957,Agriculture - KM
VKB-01958,Rural Development
VKB-01961,BC Corporation
VKB-01960,Revenue
VKB-01959,Horticulture
VKB-01962,Banking
VKB-01963,Revenue
VKB-01964,Horticulture
VKB-01966,Rural Development
VKB-01968,Revenue
VKB-01969,Revenue
VKB-01970,Revenue
VKB-01972,Revenue
VKB-01971,Rural Development
VKB-01973,Revenue
VKB-01975,Other
VKB-01976,SC Corporation
VKB-01977,Rural Development
VKB-01978,Revenue
VKB-01980,Other
VKB-01979,Revenue
VKB-01981,Education
VKB-01982,Horticulture
VKB-01983,Revenue
VKB-01984,Revenue
VKB-01985,Revenue
VKB-01987,Revenue
VKB-01988,Revenue
VKB-01989,Rural Development
VKB-01990,Revenue
VKB-01991,Rural Development
VKB-01992,Revenue
VKB-01994,Revenue
VKB-01996,Agriculture - KM
VKB-01997,Horticulture
VKB-01999,Revenue
VKB-02001,Agriculture - KM
VKB-02002,Agriculture - KM
VKB-02003,Revenue
VKB-02004,Other
VKB-02005,Horticulture
VKB-02006,Horticulture
VKB-02008,Agriculture - KM
VKB-02009,Revenue
VKB-02010,Revenue
VKB-02011,Agriculture - KM
VKB-02012,Revenue
VKB-02013,Marketing
VKB-02014,Banking
VKB-02016,Rural Development
VKB-02017,Revenue
VKB-02018,Horticulture
VKB-02019,Agriculture - KM
VKB-02020,Animal Husbandary & Veternary
VKB-02021,Revenue
VKB-02022,Banking
VKB-02023,Revenue
VKB-02024,Horticulture
VKB-02028,Revenue
VKB-02029,Agriculture - KM
VKB-02030,Agriculture - KM
VKB-02032,Horticulture
VKB-02033,Agriculture - KM
VKB-02035,SC Corporation
VKB-02036,Revenue
VKB-02038,Revenue
VKB-02041,Rural Development
VKB-02042,Horticulture
VKB-02043,Revenue
VKB-02044,Rural Development
VKB-02045,Banking
VKB-02045,SC Corporation
VKB-02046,Agriculture - KM
VKB-02047,Revenue
VKB-02048,Agriculture - KM
VKB-02049,Agriculture - KM
VKB-02050,Agriculture - KM
VKB-02053,Agriculture - KM
VKB-02054,Irrigation
VKB-02055,Agriculture - KM
VKB-02056,Agriculture - KM
VKB-02058,Electricity
VKB-02059,Agriculture - KM
VKB-02060,Animal Husbandary & Veternary
VKB-02061,Revenue
VKB-02064,Department not mapped
VKB-02065,Rural Development
VKB-02066,Revenue
VKB-02067,Revenue
VKB-02069,Animal Husbandary & Veternary
VKB-02070,Agriculture - KM
VKB-02071,Agriculture - KM
VKB-02072,Insurance
VKB-02072,Agriculture - KM
VKB-02073,Agriculture - KM
VKB-02074,Agriculture - KM
VKB-02075,Revenue
VKB-02076,Banking
VKB-02077,Agriculture - KM
VKB-02077,Revenue
VKB-02078,Horticulture
VKB-02080,SC Corporation
VKB-02081,Agriculture - KM
VKB-02083,Agriculture - KM
VKB-02084,Banking
VKB-02085,Banking
VKB-02086,Banking
VKB-02087,BC Corporation
VKB-02088,Rural Development
VKB-02090,Horticulture
VKB-02091,Agriculture - KM
VKB-02092,Horticulture
VKB-02093,Agriculture - KM
VKB-02094,Banking
VKB-02095,Agriculture - KM
VKB-02096,Agriculture - KM
VKB-02097,Agriculture - KM
VKB-02098,Agriculture - KM
VKB-02100,Agriculture - KM
VKB-02102,Agriculture - KM
VKB-02103,Agriculture - KM
VKB-02104,Horticulture
VKB-02105,Agriculture - KM
VKB-02107,Agriculture - KM
VKB-02108,Agriculture - KM
VKB-02110,Agriculture - KM
VKB-02111,Marketing
VKB-02112,Agriculture - KM
VKB-02114,Agriculture - KM
VKB-02115,Agriculture - KM
VKB-02117,Agriculture - KM
VKB-02119,Revenue
VKB-02120,Agriculture - KM
VKB-02121,Agriculture - KM
VKB-02122,Agriculture - KM
VKB-02123,Agriculture - KM
VKB-02124,Agriculture - KM
VKB-02125,Agriculture - KM
VKB-02126,Agriculture - KM
VKB-02127,Revenue
VKB-02128,Agriculture - KM
VKB-02129,Agriculture - KM
VKB-02130,Insurance
VKB-02131,Revenue
VKB-02132,Agriculture - KM
VKB-02133,Agriculture - KM
VKB-02134,Agriculture - KM
VKB-02135,Revenue
VKB-02136,Agriculture - KM
VKB-02137,Agriculture - KM
VKB-02139,Agriculture - KM
VKB-02140,Agriculture - KM
VKB-02141,Agriculture - KM
VKB-02142,Agriculture - KM
VKB-02143,Revenue
VKB-02144,Agriculture - KM
VKB-02145,Revenue
VKB-02146,Agriculture - KM
VKB-02147,Agriculture - KM
VKB-02149,Agriculture - KM
VKB-02150,Agriculture - KM
VKB-02151,Agriculture - KM
VKB-02152,Revenue
VKB-02153,Agriculture - KM
VKB-02154,Agriculture - KM
VKB-02155,Agriculture - KM
VKB-02156,Agriculture - KM
VKB-02157,Horticulture
VKB-02158,Agriculture - KM
VKB-02159,Agriculture - KM
VKB-02160,Agriculture - KM
VKB-02161,Agriculture - KM
VKB-02162,Agriculture - KM
VKB-02163,Revenue
VKB-02164,Agriculture - KM
VKB-02165,Agriculture - KM
VKB-02166,Agriculture - KM
VKB-02167,Agriculture - KM
VKB-02168,Agriculture - KM
VKB-02169,Horticulture
VKB-02169,Agriculture - KM
VKB-02170,Banking
VKB-02171,Horticulture
VKB-02172,Revenue
VKB-02173,Agriculture - KM
VKB-02174,Agriculture - KM
VKB-02175,Agriculture - KM
VKB-02176,Horticulture
VKB-02177,Agriculture - KM
VKB-02178,Agriculture - KM
VKB-02179,Agriculture - KM
VKB-02180,Horticulture
VKB-02181,Agriculture - KM
VKB-02182,Agriculture - KM
VKB-02183,Agriculture - KM
VKB-02184,Horticulture
VKB-02185,Agriculture - KM
VKB-02186,Agriculture - KM
VKB-02187,Agriculture - KM
VKB-02188,Agriculture - KM
VKB-02189,Horticulture
VKB-02190,Revenue
VKB-02191,Agriculture - KM
VKB-02192,Agriculture - KM
VKB-02193,Agriculture - KM
VKB-02194,Agriculture - KM
VKB-02195,Agriculture - KM
VKB-02196,Agriculture - KM
VKB-02197,Agriculture - KM
VKB-02198,Agriculture - KM
VKB-02199,Agriculture - KM
VKB-02200,Agriculture - KM
VKB-02201,Agriculture - KM
VKB-02202,Panchayath
VKB-02204,Agriculture - KM
VKB-02205,Agriculture - KM
VKB-02206,Agriculture - KM
VKB-02207,Agriculture - KM
VKB-02208,Electricity
VKB-02209,Agriculture - KM
VKB-02210,Agriculture - KM
VKB-02211,Agriculture - KM
VKB-02212,Agriculture - KM
VKB-02213,Horticulture
VKB-02214,Horticulture
VKB-02215,Horticulture
VKB-02217,Agriculture - KM
VKB-02218,Agriculture - KM
VKB-02219,Agriculture - KM
VKB-02220,Revenue
VKB-02221,Revenue
VKB-02222,Agriculture - KM
VKB-02224,Agriculture - KM
VKB-02225,Agriculture - KM
VKB-02226,Agriculture - KM
VKB-02227,Horticulture
VKB-02228,Agriculture - KM
VKB-02229,Agriculture - KM
VKB-02230,Agriculture - KM
VKB-02231,Agriculture - KM
VKB-02231,Insurance
VKB-02232,Agriculture - KM
VKB-02233,Agriculture - KM
VKB-02234,Rural Development
VKB-02234,Revenue
VKB-02236,Agriculture - KM
VKB-02237,Agriculture - KM
VKB-02238,Agriculture - KM
VKB-02239,Revenue
VKB-02240,Agriculture - KM
VKB-02241,Revenue
VKB-02243,Agriculture - KM
VKB-02244,Agriculture - KM
VKB-02251,Revenue
VKB-02253,Marketing
VKB-02255,Revenue
VKB-02256,Agriculture - KM
VKB-02257,Agriculture - KM
VKB-02259,Revenue
VKB-02260,Horticulture
VKB-02261,Agriculture - KM
VKB-02262,Electricity
VKB-02263,Banking
VKB-02264,Revenue
VKB-02265,Marketing
VKB-02265,Agriculture - KM
VKB-02266,Revenue
VKB-02267,Revenue
VKB-02268,Revenue
VKB-02269,Revenue
VKB-02270,Revenue
VKB-02273,Revenue
VKB-02274,Revenue
VKB-02275,Revenue
VKB-02276,Rural Development
VKB-02277,Horticulture
VKB-02278,Revenue
VKB-02280,Agriculture - KM
VKB-02282,Revenue
VKB-02283,Agriculture - KM
VKB-02285,Marketing
VKB-02287,Rural Development
VKB-02288,Revenue
VKB-02289,Revenue
VKB-02290,Rural Development
VKB-02291,Agriculture - KM
VKB-02292,Banking
VKB-02294,Agriculture - KM
VKB-02293,Agriculture - KM
VKB-02296,Revenue
VKB-02298,Revenue
VKB-02299,Rural Development
VKB-02300,Horticulture
VKB-02301,Rural Development
VKB-02303,Rural Development
VKB-02304,Revenue
VKB-02305,Horticulture
VKB-02306,Agriculture - KM
VKB-02307,Revenue
VKB-02309,Agriculture - KM
VKB-02310,Agriculture - KM
VKB-02312,Agriculture - KM
VKB-02313,Agriculture - KM
VKB-02314,Marketing
VKB-02315,Revenue
VKB-02316,Revenue
VKB-02317,Revenue
VKB-02319,Revenue
VKB-02320,Horticulture
VKB-02322,Agriculture - KM
VKB-02324,Revenue
VKB-02326,Agriculture - KM
VKB-02327,Agriculture - KM
VKB-02328,Agriculture - KM
VKB-02329,Revenue
VKB-02331,Agriculture - KM
VKB-02332,Revenue
VKB-02333,Revenue
VKB-02334,Agriculture - KM
VKB-02335,Horticulture
VKB-02336,Revenue
VKB-02337,Agriculture - KM
VKB-02338,Marketing
VKB-02339,Agriculture - KM
VKB-02340,Agriculture - KM
VKB-02341,Banking
VKB-02342,Horticulture
VKB-02343,Agriculture - KM
VKB-02344,Agriculture - KM
VKB-02345,Agriculture - KM
VKB-02346,Agriculture - KM
VKB-02347,Revenue
VKB-02349,Revenue
VKB-02350,Banking
VKB-02352,Agriculture - KM
VKB-02353,Agriculture - KM
VKB-02354,Horticulture
VKB-02355,Animal Husbandary & Veternary
VKB-02356,Agriculture - KM
VKB-02357,Agriculture - KM
VKB-02358,Banking
VKB-02359,Agriculture - KM
VKB-02360,Agriculture - KM
VKB-02362,Horticulture
VKB-02363,Forest
VKB-02364,Revenue
VKB-02365,Revenue
VKB-02366,Revenue
VKB-02368,Horticulture
VKB-02369,Revenue
VKB-02370,Electricity
VKB-02371,Revenue
VKB-02372,Agriculture - KM
VKB-02373,Horticulture
VKB-02374,Horticulture
VKB-02375,Rural Development
VKB-02376,Agriculture - KM
VKB-02377,Agriculture - KM
VKB-02379,Rural Development
VKB-02380,Electricity
VKB-02381,Electricity
VKB-02382,Agriculture - KM
VKB-02383,Agriculture - KM
VKB-02384,Agriculture - KM
VKB-02385,Marketing
VKB-02386,Electricity
VKB-02387,Electricity
VKB-02388,Agriculture - KM
VKB-02389,Banking
VKB-02391,Agriculture - KM
VKB-02392,Agriculture - KM
VKB-02394,Agriculture - KM
VKB-02394,Horticulture
VKB-02395,Revenue
VKB-02396,Agriculture - KM
VKB-02397,Rural Development
VKB-02398,Agriculture - KM
VKB-02399,Insurance
VKB-02400,Agriculture - KM
VKB-02401,Marketing
VKB-02402,Agriculture - KM
VKB-02403,Agriculture - KM
VKB-02404,Agriculture - KM
VKB-02405,Marketing
VKB-02406,Agriculture - KM
VKB-02407,Agriculture - KM
VKB-02408,Agriculture - KM
VKB-02409,Agriculture - KM
VKB-02410,Agriculture - KM
VKB-02411,Marketing
VKB-02412,Agriculture - KM
VKB-02413,Agriculture - KM
VKB-02414,Agriculture - KM
VKB-02415,Insurance
VKB-02416,Agriculture - KM
VKB-02417,Agriculture - KM
VKB-02418,Agriculture - KM
VKB-02419,Agriculture - KM
VKB-02420,Agriculture - KM
VKB-02421,Agriculture - KM
VKB-02422,Agriculture - KM
VKB-02423,Agriculture - KM
VKB-02424,Agriculture - KM
VKB-02425,Agriculture - KM
VKB-02427,Other
VKB-02426,Agriculture - KM
VKB-02428,Agriculture - KM
VKB-02429,Agriculture - KM
VKB-02431,Agriculture - KM
VKB-02432,Agriculture - KM
VKB-02433,Agriculture - KM
VKB-02434,Agriculture - KM
VKB-02435,Agriculture - KM
VKB-02436,Revenue
VKB-02437,Agriculture - KM
VKB-02438,Agriculture - KM
VKB-02439,Agriculture - KM
VKB-02440,Agriculture - KM
VKB-02441,Agriculture - KM
VKB-02442,Agriculture - KM
VKB-02443,Agriculture - KM
VKB-02444,Agriculture - KM
VKB-02445,Agriculture - KM
VKB-02447,Agriculture - KM
VKB-02446,Agriculture - KM
VKB-02448,Agriculture - KM
VKB-02449,Agriculture - KM
VKB-02450,Agriculture - KM
VKB-02451,Agriculture - KM
VKB-02452,Electricity
VKB-02453,Horticulture
VKB-02454,Horticulture
VKB-02455,Agriculture - KM
VKB-02456,Agriculture - KM
VKB-02457,Agriculture - KM
VKB-02458,Agriculture - KM
VKB-02460,Agriculture - KM
VKB-02461,Horticulture
VKB-02463,Agriculture - KM
VKB-02464,Agriculture - KM
VKB-02465,Horticulture
VKB-02466,Agriculture - KM
VKB-02467,Agriculture - KM
VKB-02468,Revenue
VKB-02469,Agriculture - KM
VKB-02471,Agriculture - KM
